ATAB
Number_of_integer_label_columns: 5
Number_of_real_label_columns: 0
Number_of_data_columns: 14
Number_of_data_rows: 4368
Width_of_text_label_column: 15
Type_of_product: 'Observations from DWH'
Start_time: 2017-01-01 00:00 +0:00
End_time: 2021-01-01 00:00 +0:00
Missing_value_code: -9999.0
Descriptor: BETU24	ALNU24	POAC24
Parameter: 'Birch pol cnc. 24h 0-0 UTC'	'Alder pol cnc. 24h 0-0 UTC'	'Grass pol cnc. 24h 0-0 UTC'
Unit: '1/m^3'	'1/m^3'	'1/m^3'
Indicator: PLO	PBS	PBE	PBU	PLS	PDS	PLU	PLZ	PMU	PVI	PNE	PZH	PGE	PCF
Latitude: 46.173	47.562	46.947	47.173	46.525	46.828	46.004	47.058	47.63	46.292	47.001	47.378	46.192	47.113
Longitude: 8.787	7.584	7.421	9.473	6.643	9.854	8.961	8.297	9.237	7.883	6.95	8.566	6.149	6.832
Height: 376	256	551	446	569	1587	275	463	412	648	489	558	382	1037
PARAMETER        YYYY MM DD HH mm PLO PBS PBE PBU PLS PDS PLU PLZ PMU PVI PNE PZH PGE PCF
BETU24              2017        1        1        0        0 -9999.000000000 -9999.000000000 -9999.000000000     0.000000000 -9999.000000000 -9999.000000000 -9999.000000000 -9999.000000000 -9999.000000000 -9999.000000000 -9999.000000000 -9999.000000000     0.000000000 -9999.000000000
BETU24              2017        1        2        0        0 -9999.000000000 -9999.000000000 -9999.000000000     0.000000000 -9999.000000000 -9999.000000000 -9999.000000000 -9999.000000000 -9999.000000000 -9999.000000000 -9999.000000000 -9999.000000000     0.000000000 -9999.000000000
BETU24              2017        1        3        0        0     0.000000000 -9999.000000000 -9999.000000000     0.000000000 -9999.000000000 -9999.000000000 -9999.000000000 -9999.000000000 -9999.000000000 -9999.000000000 -9999.000000000 -9999.000000000     0.000000000 -9999.000000000
BETU24              2017        1        4        0        0     0.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000 -9999.000000000 -9999.000000000     0.000000000     0.000000000 -9999.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000
BETU24              2017        1        5        0        0     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000 -9999.000000000     0.000000000     0.000000000 -9999.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000
BETU24              2017        1        6        0        0     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000 -9999.000000000     0.000000000     0.000000000 -9999.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000
BETU24              2017        1        7        0        0     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000 -9999.000000000     0.000000000     0.000000000 -9999.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000
BETU24              2017        1        8        0        0     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000 -9999.000000000     0.000000000     0.000000000 -9999.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000
BETU24              2017        1        9        0        0     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000 -9999.000000000     0.000000000     0.000000000 -9999.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000
BETU24              2017        1       10        0        0     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000 -9999.000000000     0.000000000     0.000000000 -9999.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000
BETU24              2017        1       11        0        0     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000 -9999.000000000     0.000000000     0.000000000 -9999.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000
BETU24              2017        1       12        0        0     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000 -9999.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000
BETU24              2017        1       13        0        0     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000 -9999.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000
BETU24              2017        1       14        0        0     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000 -9999.000000000     0.000000000 -9999.000000000     0.000000000 -9999.000000000     0.000000000     0.000000000 -9999.000000000
BETU24              2017        1       15        0        0     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000 -9999.000000000     0.000000000 -9999.000000000     0.000000000 -9999.000000000     0.000000000     0.000000000 -9999.000000000
BETU24              2017        1       16        0        0     0.000000000 -9999.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000 -9999.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000     0.000000000     0.000000000 -9999.000000000
BETU24              2017        1       17        0        0     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000 -9999.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000     0.000000000 -9999.000000000
